2022-04-23 19:44:05,988 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2022-04-23 19:44:07,138 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2022-04-23 19:44:08,138 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2022-04-23 19:44:08,605 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2022-04-23 19:44:09,105 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2022-04-23 19:44:09,470 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2022-04-23 19:44:10,271 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2022-04-23 19:44:11,204 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2022-04-23 19:45:11,549 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2022-04-23 19:45:11,997 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2022-04-23 19:45:14,431 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2022-04-23 19:45:14,997 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2022-04-23 19:45:15,546 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2022-04-23 19:45:16,047 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2022-04-23 19:45:17,430 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2022-04-23 19:45:18,014 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2022-04-23 19:49:31,019 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-04-23 19:49:31,025 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-04-24 02:32:08,788 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-04-24 02:32:08,789 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-24 02:32:08,789 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-24 02:32:08,789 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-24 02:32:08,789 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-24 02:32:08,789 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-24 02:32:08,789 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-24 02:32:30,073 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-24 02:32:53,649 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
